(getBufferParameteriv,napi_glGetBufferParameteriv)
(bindRenderbuffer,napi_glBindRenderbuffer)
(blendFuncSeparate,napi_glBlendFuncSeparate)
(getActiveAttrib,napi_glGetActiveAttrib)
(uniform1fv,napi_glUniform1fv)
(getUniformiv,napi_glGetUniformiv)
(bindAttribLocation,napi_glBindAttribLocation)
(texSubImage2D,napi_glTexSubImage2D)
(checkFramebufferStatus,napi_glCheckFramebufferStatus)
(uniform3i,napi_glUniform3i)
(texParameteri,napi_glTexParameteri)
(readPixels,napi_glReadPixels)
(deleteShader,napi_glDeleteShader)
(stencilFuncSeparate,napi_glStencilFuncSeparate)
(uniform2iv,napi_glUniform2iv)
(lineWidth,napi_glLineWidth)
(shaderBinary,napi_glShaderBinary)
(uniform4iv,napi_glUniform4iv)
(getVertexAttribiv,napi_glGetVertexAttribiv)
(createShader,napi_glCreateShader)
(vertexAttrib1f,napi_glVertexAttrib1f)
(bufferSubData,napi_glBufferSubData)
(frontFace,napi_glFrontFace)
(getActiveUniform,napi_glGetActiveUniform)
(loadContext,napi_loadContext)
(uniformMatrix3fv,napi_glUniformMatrix3fv)
(vertexAttrib4fv,napi_glVertexAttrib4fv)
(pixelStorei,napi_glPixelStorei)
(stencilFunc,napi_glStencilFunc)
(texParameterfv,napi_glTexParameterfv)
(getAttribLocation,napi_glGetAttribLocation)
(getAttachedShaders,napi_glGetAttachedShaders)
(validateProgram,napi_glValidateProgram)
(copyTexSubImage2D,napi_glCopyTexSubImage2D)
(framebufferRenderbuffer,napi_glFramebufferRenderbuffer)
(deleteProgram,napi_glDeleteProgram)
(disableVertexAttribArray,napi_glDisableVertexAttribArray)
