(glAccum,_glAccum)
(glGetPixelMapfv,_glGetPixelMapfv)
(glGetPixelMapuiv,_glGetPixelMapuiv)
(glGetPixelMapusv,_glGetPixelMapusv)
(glGetPointerv,_glGetPointerv)
(glGetPolygonStipple,_glGetPolygonStipple)
(glGetString,_glGetString)
(glGetTexEnvfv,_glGetTexEnvfv)
(glGetTexEnviv,_glGetTexEnviv)
(glGetTexGendv,_glGetTexGendv)
(glGetTexGenfv,_glGetTexGenfv)
(glGetTexGeniv,_glGetTexGeniv)
(glGetTexImage,_glGetTexImage)
(glGetTexLevelParameterfv,_glGetTexLevelParameterfv)
(glGetTexLevelParameteriv,_glGetTexLevelParameteriv)
(glGetTexParameterfv,_glGetTexParameterfv)
(glGetTexParameteriv,_glGetTexParameteriv)
(glHint,_glHint)
(glIndexd,_glIndexd)
(glIndexf,_glIndexf)
(glIndexi,_glIndexi)
(glIndexs,_glIndexs)
(glIndexub,_glIndexub)
(glIndexdv,_glIndexdv)
(glIndexfv,_glIndexfv)
(glIndexiv,_glIndexiv)
(glIndexsv,_glIndexsv)
(glIndexubv,_glIndexubv)
(glIndexMask,_glIndexMask)
(glIndexPointer,_glIndexPointer)
(glInitNames,_glInitNames)
(glInterleavedArrays,_glInterleavedArrays)
(glIsEnabled,_glIsEnabled)
(glIsList,_glIsList)
(glIsTexture,_glIsTexture)
(glLightf,_glLightf)
(glLighti,_glLighti)
(glLightfv,_glLightfv)
(glLightiv,_glLightiv)
(glLightModelf,_glLightModelf)
(glLightModeli,_glLightModeli)
(glLightModelfv,_glLightModelfv)
(glLightModeliv,_glLightModeliv)
(glLineStipple,_glLineStipple)
(glLineWidth,_glLineWidth)
(glListBase,_glListBase)
(glLoadIdentity,_glLoadIdentity)
(glLoadMatrixd,_glLoadMatrixd)
(glLoadMatrixf,_glLoadMatrixf)
(glLoadName,_glLoadName)
(glLogicOp,_glLogicOp)
(glMap1d,_glMap1d)
(glMap1f,_glMap1f)
(glMap2d,_glMap2d)
(glMap2f,_glMap2f)
(glMapGrid1d,_glMapGrid1d)
(glMapGrid1f,_glMapGrid1f)
(glMapGrid2d,_glMapGrid2d)
(glMapGrid2f,_glMapGrid2f)
(glMaterialf,_glMaterialf)
(glMateriali,_glMateriali)
(glMaterialfv,_glMaterialfv)
(glMaterialiv,_glMaterialiv)
(glMatrixMode,_glMatrixMode)
(glMultMatrixd,_glMultMatrixd)
(glMultMatrixf,_glMultMatrixf)
(glNewList,_glNewList)
(glEndList,_glEndList)
(glNormal3b,_glNormal3b)
(glNormal3d,_glNormal3d)
(glNormal3f,_glNormal3f)
(glNormal3i,_glNormal3i)
(glNormal3s,_glNormal3s)
(glNormal3bv,_glNormal3bv)
(glNormal3dv,_glNormal3dv)
(glNormal3fv,_glNormal3fv)
(glNormal3iv,_glNormal3iv)
(glNormal3sv,_glNormal3sv)
(glNormalPointer,_glNormalPointer)
(glOrtho,_glOrtho)
(glPassThrough,_glPassThrough)
(glPixelMapfv,_glPixelMapfv)
(glPixelMapuiv,_glPixelMapuiv)
(glPixelMapusv,_glPixelMapusv)
(glPixelStoref,_glPixelStoref)
(glPixelStorei,_glPixelStorei)
(glPixelTransferf,_glPixelTransferf)
(glPixelTransferi,_glPixelTransferi)
(glPixelZoom,_glPixelZoom)
(glPointSize,_glPointSize)
(glPolygonMode,_glPolygonMode)
(glPolygonOffset,_glPolygonOffset)
(glPolygonStipple,_glPolygonStipple)
(glPrioritizeTextures,_glPrioritizeTextures)
(glPushAttrib,_glPushAttrib)
(glPopAttrib,_glPopAttrib)
(glPushClientAttrib,_glPushClientAttrib)
(glPopClientAttrib,_glPopClientAttrib)
(glPushMatrix,_glPushMatrix)
(glPopMatrix,_glPopMatrix)
(glPushName,_glPushName)
(glPopName,_glPopName)
(glRasterPos2d,_glRasterPos2d)
(glRasterPos2f,_glRasterPos2f)
(glRasterPos2i,_glRasterPos2i)
(glRasterPos2s,_glRasterPos2s)
(glRasterPos3d,_glRasterPos3d)
(glRasterPos3f,_glRasterPos3f)
(glRasterPos3i,_glRasterPos3i)
(glRasterPos3s,_glRasterPos3s)
(glRasterPos4d,_glRasterPos4d)
(glRasterPos4f,_glRasterPos4f)
(glRasterPos4i,_glRasterPos4i)
(glRasterPos4s,_glRasterPos4s)
(glRasterPos2dv,_glRasterPos2dv)
(glRasterPos2fv,_glRasterPos2fv)
(glRasterPos2iv,_glRasterPos2iv)
(glRasterPos2sv,_glRasterPos2sv)
(glRasterPos3dv,_glRasterPos3dv)
(glRasterPos3fv,_glRasterPos3fv)
(glRasterPos3iv,_glRasterPos3iv)
(glRasterPos3sv,_glRasterPos3sv)
(glRasterPos4dv,_glRasterPos4dv)
(glRasterPos4fv,_glRasterPos4fv)
(glRasterPos4iv,_glRasterPos4iv)
(glRasterPos4sv,_glRasterPos4sv)
(glReadBuffer,_glReadBuffer)
(glReadPixels,_glReadPixels)
(glRectd,_glRectd)
(glRectf,_glRectf)
(glRecti,_glRecti)
(glRects,_glRects)
(glRectdv,_glRectdv)
(glRectfv,_glRectfv)
(glRectiv,_glRectiv)
(glRectsv,_glRectsv)
(glRenderMode,_glRenderMode)
(glRotated,_glRotated)
(glRotatef,_glRotatef)
(glScaled,_glScaled)
(glScalef,_glScalef)
(glScissor,_glScissor)
(glSelectBuffer,_glSelectBuffer)
(glShadeModel,_glShadeModel)
(glStencilFunc,_glStencilFunc)
(glStencilMask,_glStencilMask)
(glStencilOp,_glStencilOp)
(glTexCoord1d,_glTexCoord1d)
(glTexCoord1f,_glTexCoord1f)
(glTexCoord1i,_glTexCoord1i)
(glTexCoord1s,_glTexCoord1s)
(glTexCoord2d,_glTexCoord2d)
(glTexCoord2f,_glTexCoord2f)
(glTexCoord2i,_glTexCoord2i)
(glTexCoord2s,_glTexCoord2s)
(glTexCoord3d,_glTexCoord3d)
(glTexCoord3f,_glTexCoord3f)
(glTexCoord3i,_glTexCoord3i)
(glTexCoord3s,_glTexCoord3s)
(glTexCoord4d,_glTexCoord4d)
(glTexCoord4f,_glTexCoord4f)
(glTexCoord4i,_glTexCoord4i)
(glTexCoord4s,_glTexCoord4s)
(glTexCoord1dv,_glTexCoord1dv)
(glTexCoord1fv,_glTexCoord1fv)
(glTexCoord1iv,_glTexCoord1iv)
(glTexCoord1sv,_glTexCoord1sv)
(glTexCoord2dv,_glTexCoord2dv)
(glTexCoord2fv,_glTexCoord2fv)
(glTexCoord2iv,_glTexCoord2iv)
(glTexCoord2sv,_glTexCoord2sv)
(glTexCoord3dv,_glTexCoord3dv)
(glTexCoord3fv,_glTexCoord3fv)
(glTexCoord3iv,_glTexCoord3iv)
(glTexCoord3sv,_glTexCoord3sv)
(glTexCoord4dv,_glTexCoord4dv)
(glTexCoord4fv,_glTexCoord4fv)
(glTexCoord4iv,_glTexCoord4iv)
(glTexCoord4sv,_glTexCoord4sv)
(glTexCoordPointer,_glTexCoordPointer)
(glTexEnvf,_glTexEnvf)
(glTexEnvi,_glTexEnvi)
(glTexEnvfv,_glTexEnvfv)
(glTexEnviv,_glTexEnviv)
(glTexGend,_glTexGend)
(glTexGenf,_glTexGenf)
(glTexGeni,_glTexGeni)
(glTexGendv,_glTexGendv)
(glTexGenfv,_glTexGenfv)
(glTexGeniv,_glTexGeniv)
(glTexImage1D,_glTexImage1D)
(glTexImage2D,_glTexImage2D)
(glTexParameterf,_glTexParameterf)
(glTexParameteri,_glTexParameteri)
(glTexParameterfv,_glTexParameterfv)
(glTexParameteriv,_glTexParameteriv)
(glTexSubImage1D,_glTexSubImage1D)
(glTexSubImage2D,_glTexSubImage2D)
(glTranslated,_glTranslated)
(glTranslatef,_glTranslatef)
(glVertex2d,_glVertex2d)
(glVertex2f,_glVertex2f)
(glVertex2i,_glVertex2i)
(glVertex2s,_glVertex2s)
(glVertex3d,_glVertex3d)
(glVertex3f,_glVertex3f)
(glVertex3i,_glVertex3i)
(glVertex3s,_glVertex3s)
(glVertex4d,_glVertex4d)
(glVertex4f,_glVertex4f)
(glVertex4i,_glVertex4i)
(glVertex4s,_glVertex4s)
(glVertex2dv,_glVertex2dv)
(glVertex2fv,_glVertex2fv)
(glVertex2iv,_glVertex2iv)
(glVertex2sv,_glVertex2sv)
(glVertex3dv,_glVertex3dv)
(glVertex3fv,_glVertex3fv)
(glVertex3iv,_glVertex3iv)
(glVertex3sv,_glVertex3sv)
(glVertex4dv,_glVertex4dv)
(glVertex4fv,_glVertex4fv)
(glVertex4iv,_glVertex4iv)
(glVertex4sv,_glVertex4sv)
(glVertexPointer,_glVertexPointer)
(glViewport,_glViewport)
