(callback,callback)
(convertContactToVCardAsync,ConvertContactToVCardAsync)
(convertVCardToContactAsync,ConvertVCardToContactAsync)
(requestStoreAsync,RequestStoreAsync)
(requestAnnotationStoreAsync,RequestAnnotationStoreAsync)
(user,UserGetter)
(field,FieldGetter)
(segments,SegmentsGetter)
(text,TextGetter)
(closePanel,ClosePanel)
(pickSingleContactAsync,PickSingleContactAsync)
(pickMultipleContactsAsync,PickMultipleContactsAsync)
(pickContactAsync,PickContactAsync)
(pickContactsAsync,PickContactsAsync)
(desiredFields,DesiredFieldsGetter)
(desiredFieldsWithContactFieldType,DesiredFieldsWithContactFieldTypeGetter)
(createForUser,CreateForUser)
(annotationListIds,AnnotationListIdsGetter)
(contactListIds,ContactListIdsGetter)
(textSearch,TextSearchGetter)
(getMatchingPropertiesWithMatchReason,GetMatchingPropertiesWithMatchReason)
(findContactsAsync,FindContactsAsync)
(findContactListsAsync,FindContactListsAsync)
(getContactListAsync,GetContactListAsync)
(createContactListAsync,CreateContactListAsync)
(aggregateContactManager,AggregateContactManagerGetter)
(convertNameToType,ConvertNameToType)
(convertTypeToName,ConvertTypeToName)
(email,EmailGetter)
(instantMessage,InstantMessageGetter)
(location,LocationGetter)
(phoneNumber,PhoneNumberGetter)
(contactIds,ContactIdsGetter)
(isPinSurfaceSupported,IsPinSurfaceSupported)
(isContactPinned,IsContactPinned)
(signalContactActivity,SignalContactActivity)
(requestPinContactAsync,RequestPinContactAsync)
(requestPinContactsAsync,RequestPinContactsAsync)
(requestUnpinContactAsync,RequestUnpinContactAsync)
(getPinnedContactIdsAsync,GetPinnedContactIdsAsync)
(getDefault,GetDefault)
(isSupported,IsSupported)
